Neel:RTHI,,,Neel:RKNE,,,Neel:RTIB,,,Neel:LTHI,,,Neel:LKNE,,,Neel:LTIB,,,Neel:RASI,,,Neel:RPSI,,,Neel:RANK,,,Neel:LANK,,,Neel:LASI,,,Neel:LPSI,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
574.485107,879.09021,913.090027,607.776611,803.63678,636.464233,632.853271,822.751587,496.096802,969.800537,870.132568,933.53656,987.290466,905.750061,678.464966,978.649231,1046.828125,505.960876,591.252197,851.993164,1194.460938,705.514709,1026.862549,1199.955078,697.45752,862.883545,247.733856,950.54071,1191.70752,350.910553,908.423279,879.626038,1191.893555,819.960205,1033.414917,1193.601929
573.779785,880.546387,913.089233,607.304016,806.490662,636.094421,632.585205,825.920044,495.794678,969.396423,869.203796,934.883301,986.932068,902.266968,679.530823,978.231873,1043.550903,507.778412,590.088684,852.575745,1194.634644,704.796631,1027.177979,1200.331543,697.415283,866.462463,247.6577,949.858337,1189.015503,353.209869,907.200562,879.574036,1192.719238,819.258179,1033.551514,1194.211426
573.088318,882.021484,913.079895,606.829651,809.360474,635.730286,632.317749,829.104492,495.501709,968.973877,868.269165,936.222839,986.569153,898.823975,680.606689,977.809692,1040.223755,509.480591,588.942017,853.153381,1194.789551,704.089966,1027.49353,1200.694336,697.375916,870.042664,247.584686,949.183228,1186.158203,355.299072,905.995605,879.535522,1193.522095,818.566956,1033.694458,1194.800049
572.411133,883.515442,913.062195,606.353149,812.24646,635.371704,632.050842,832.304749,495.217896,968.532837,867.328552,937.555115,986.201599,895.421082,681.692566,977.382874,1036.84668,511.067444,587.812134,853.726318,1194.925293,703.394653,1027.809204,1201.042969,697.339172,873.62439,247.514786,948.515259,1183.135132,357.178223,904.808289,879.510254,1194.30249,817.886597,1033.843994,1195.367554
571.747864,885.028137,913.036194,605.874878,815.148193,635.018677,631.784363,835.520935,494.943146,968.073547,866.38208,938.880127,985.829346,892.058289,682.78833,976.951477,1033.419678,512.53894,586.699097,854.294373,1195.042114,702.710754,1028.125,1201.37793,697.305237,877.207397,247.447983,947.854492,1179.946655,358.847321,903.638611,879.498474,1195.059937,817.216858,1034,1195.914185
571.098633,886.559448,913.001587,605.394836,818.065491,634.671204,631.518616,838.752258,494.67746,967.595947,865.429443,940.197815,985.452271,888.735657,683.893677,976.515381,1029.942749,513.894958,585.602966,854.857422,1195.140137,702.038208,1028.440918,1201.698853,697.274109,880.791565,247.384155,947.201294,1176.592896,360.306458,902.486694,879.5,1195.794556,816.557983,1034.162598,1196.439575
570.463318,888.109009,912.958557,604.913147,820.997864,634.329285,631.253357,841.998291,494.420624,967.100037,864.470764,941.507874,985.070312,885.453186,685.008362,976.074707,1026.415527,515.135559,584.523743,855.41571,1195.218994,701.377014,1028.756958,1202.005981,697.245789,884.37677,247.323151,946.556091,1173.07373,361.556,901.352539,879.514954,1196.506348,815.909851,1034.331787,1196.94397
569.841797,889.676636,912.906799,604.430115,823.944458,633.992676,630.988953,845.257629,494.172424,966.586121,863.505859,942.809937,984.682861,882.210876,686.13147,975.629517,1022.838135,516.260559,583.461487,855.968811,1195.279053,700.727295,1029.073242,1202.299072,697.220215,887.962646,247.264771,945.919312,1169.389648,362.596375,900.236145,879.543274,1197.19519,815.272461,1034.50769,1197.427124
569.23407,891.261475,912.846558,603.946167,826.904114,633.661133,630.725525,848.529114,493.932556,966.05426,862.534485,944.103516,984.289612,879.00885,687.26239,975.179993,1019.209961,517.270142,582.416382,856.516907,1195.319824,700.088745,1029.389648,1202.578125,697.19751,891.548889,247.208664,945.292053,1165.540405,363.428223,899.137634,879.585083,1197.860474,814.64563,1034.690186,1197.888916
568.640015,892.862732,912.777344,603.461609,829.875305,633.334534,630.463196,851.810425,493.7005,965.504883,861.556458,945.388062,983.889954,875.847229,688.399963,974.726196,1015.530701,518.164307,581.388489,857.059692,1195.341553,699.461365,1029.706299,1202.842773,697.177612,895.13501,247.154526,944.675171,1161.526978,364.052704,898.057129,879.640259,1198.502319,814.029419,1034.879028,1198.329102
568.059143,894.479187,912.699219,602.977356,832.85614,633.012207,630.202271,855.099182,493.475586,964.938293,860.571777,946.662903,983.483276,872.726135,689.542969,974.268494,1011.799805,518.94342,580.37793,857.597229,1195.34436,698.845154,1030.022949,1203.092896,697.160461,898.720459,247.101913,944.070068,1157.349487,364.471252,896.99469,879.708984,1199.119873,813.423584,1035.074829,1198.747314
567.491333,896.109619,912.611755,602.493958,835.844238,632.69397,629.943359,858.392822,493.256989,964.354919,859.5802,947.926819,983.068787,869.645752,690.689697,973.807007,1008.016968,519.607971,579.385071,858.12915,1195.327637,698.239868,1030.34021,1203.328247,697.146179,902.304688,247.050552,943.478333,1153.008545,364.685791,895.950562,879.791199,1199.713257,812.828125,1035.277344,1199.143188
566.936401,897.752197,912.515015,602.012329,838.837097,632.378906,629.68689,861.688171,493.043701,963.75531,858.581848,949.178833,982.645752,866.606384,691.838562,973.34198,1004.181396,520.158508,578.410034,858.655334,1195.291992,697.645386,1030.657471,1203.548828,697.134521,905.887329,247,942.901733,1148.505371,364.69873,894.924805,879.886719,1200.281372,812.242859,1035.486572,1199.516357
